City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,frostburg,39.6581,-78.9284,25.97,92,100,3.09,US,1689463600
283,xindian,36.7975,118.2944,25.04,66,0,2.17,CN,1689463600
284,nema,57.5067,50.5011,12.81,86,98,2.63,RU,1689463600
285,rio verde de mato grosso,-18.9181,-54.8442,21.77,43,20,1.47,BR,1689463601
286,port augusta,-32.5,137.7667,8.15,73,0,2.43,AU,1689463601
287,plastun,44.7561,136.2939,16.71,83,99,2.64,RU,1689463601
288,novobelokatay,55.7062,58.9549,10.8,98,31,1.26,RU,1689463601
289,palikir - national government center,6.9248,158.1611,29.47,79,100,6.17,FM,1689463602
290,baise city,23.8997,106.6133,24.85,82,69,1.48,CN,1689463602
291,touros,-5.1989,-35.4608,25.55,82,3,6.33,BR,1689463602
292,igarka,67.4667,86.5833,8.76,90,95,7.2,RU,1689463603
293,naze,28.3667,129.4833,28.51,81,50,7.0,JP,1689463318
294,eyl,7.9803,49.8164,25.1,74,1,10.88,SO,1689463603
295,tuzhai,24.983,118.8319,28.08,80,46,3.79,CN,1689463603
296,vernon,50.2581,-119.2691,36.63,18,67,1.03,CA,1689463604
297,steubenville,40.3698,-80.634,27.42,96,100,3.39,US,1689463604
298,acapulco de juarez,16.8634,-99.8901,30.9,70,75,4.63,MX,1689463604
299,linxia chengguanzhen,35.6003,103.2064,14.61,60,1,2.46,CN,1689463605
300,ascension,30.2169,-90.9001,36.72,52,75,2.57,US,1689463605
301,port blair,11.6667,92.75,27.02,89,75,4.12,IN,1689463605
302,mar del plata,-38.0023,-57.5575,8.3,72,0,7.6,AR,1689463605
303,mompos,9.2419,-74.4267,29.09,77,51,2.28,CO,1689463606
304,mpanda,-6.3655,31.0409,17.3,54,0,0.74,TZ,1689463606
305,calca,-13.3333,-71.95,17.64,76,40,2.95,PE,1689463606
306,china,25.7,-99.2333,40.95,19,94,10.12,MX,1689463607
307,hasaki,35.7333,140.8333,30.22,80,100,5.31,JP,1689463527
308,glenfield park,-35.1372,147.334,7.97,83,4,0.97,AU,1689463607
309,guerrero negro,27.9769,-114.0611,24.24,59,14,7.91,MX,1689463607
310,san antonio de pale,-1.4014,5.6325,23.26,83,27,2.97,GQ,1689463608
311,mata de sao joao,-12.5303,-38.2992,26.86,97,2,1.47,BR,1689463608
312,kuala tungkal,-0.8167,103.4667,24.56,93,100,2.66,ID,1689463608
313,gokceada,40.2011,25.909,24.6,73,0,8.44,TR,1689463609
314,port sudan,19.6175,37.2164,33.49,47,95,1.24,SD,1689463609
315,kamloops,50.6665,-120.3192,32.64,30,75,1.54,CA,1689463609
316,caleta de carquin,-11.0925,-77.6267,20.67,80,9,5.38,PE,1689463610
317,kolonia town,6.964,158.206,30.06,79,100,6.17,FM,1689463610
318,rakvere,59.3464,26.3558,12.23,77,59,1.97,EE,1689463610
319,oranjemund,-28.55,16.4333,13.6,67,0,1.74,NA,1689463610
320,miyaly,48.8844,53.7836,19.44,72,36,8.24,KZ,1689463611
321,jahanabad,25.2167,84.9833,28.91,78,84,3.78,IN,1689463498
322,dongxi,28.7614,106.6611,22.89,91,86,1.43,CN,1689463611
323,crucecita,-28.95,-58.9833,11.59,67,0,1.81,AR,1689463612
324,kuta,-8.7233,115.1723,25.0,88,40,0.51,ID,1689463613
325,misratah,32.3754,15.0925,27.35,63,0,3.23,LY,1689463613
326,qamdo,31.1667,97.2333,3.73,82,75,1.35,CN,1689463613
327,luderitz,-26.6481,15.1594,15.68,54,0,6.09,NA,1689463614
328,hobyo,5.3505,48.5268,24.77,83,58,11.09,SO,1689463614
329,porto de moz,-1.7483,-52.2383,25.72,75,92,0.46,BR,1689463614
330,crookston,47.7741,-96.6081,22.06,43,40,3.6,US,1689463614
331,olyokminsk,60.3736,120.4264,14.07,47,21,0.81,RU,1689463615
332,anori,-3.7728,-61.6442,27.85,68,79,0.78,BR,1689463615
333,nianzishan,47.5167,122.8833,18.22,87,90,6.75,CN,1689463615
334,colares,38.7992,-9.4469,18.83,76,20,9.83,PT,1689463615
335,i-n-salah,27.1935,2.4607,35.4,6,0,6.52,DZ,1689463616
336,bel ombre,-4.6167,55.4167,25.91,83,40,5.14,SC,1689463616
337,nar'yan-mar,67.6713,53.087,15.63,67,11,2.03,RU,1689463449
338,sitka,57.0531,-135.33,16.94,72,40,2.06,US,1689463617
339,happy valley-goose bay,53.3168,-60.3315,27.17,57,75,2.06,CA,1689463617
340,kerikeri,-35.2268,173.9474,14.95,87,90,0.89,NZ,1689463617
341,kachia,9.8667,7.95,21.84,91,61,1.7,NG,1689463618
342,mount isa,-20.7333,139.5,20.87,40,40,1.03,AU,1689463618
343,mejit,10.2753,170.8646,28.27,76,38,6.98,MH,1689463618
344,namibe,-15.1961,12.1522,19.98,47,0,1.94,AO,1689463619
345,buka,40.8108,69.1986,20.41,25,6,2.82,UZ,1689463619
346,sarina,-21.4333,149.2167,20.9,25,63,4.91,AU,1689463620
347,juan griego,11.0817,-63.9655,26.83,84,77,6.71,VE,1689463620
348,ehingen,48.2826,9.7275,20.75,93,80,1.52,DE,1689463620
349,ain sefra,32.75,-0.5833,28.92,11,1,1.93,DZ,1689463621
350,lompoc,34.6391,-120.4579,35.01,66,0,2.68,US,1689463621
351,krasnoural'sk,58.3638,60.0407,10.33,97,90,2.38,RU,1689463621
352,beloyarskiy,63.7119,66.6722,12.37,72,2,0.07,RU,1689463470
353,teknaf,20.8624,92.3058,25.54,91,99,4.1,BD,1689463622
354,cherdyn',60.403,56.4787,9.39,81,60,1.85,RU,1689463622
355,meulaboh,4.1363,96.1285,24.15,89,97,1.61,ID,1689463622
356,tafresh,34.692,50.013,24.54,13,0,1.55,IR,1689463623
357,hoi an,15.8794,108.335,27.98,88,100,4.82,VN,1689463622
358,pulivendla,14.4167,78.2333,26.82,67,99,8.11,IN,1689463624
359,lorengau,-2.0226,147.2712,28.63,74,68,6.39,PG,1689463624
360,lihue,21.9789,-159.3672,28.77,66,20,6.17,US,1689463624
361,bac lieu,9.285,105.7244,26.87,85,88,5.52,VN,1689463625
362,steinkjer,64.193,11.3851,16.52,67,100,4.47,NO,1689463625
363,otradnaya,44.3933,41.5206,15.29,92,17,3.23,RU,1689463625
364,badger,64.8,-147.5333,19.73,64,100,2.57,US,1689463626
